maneuver_id,split,scene_key,source_shard,record_index,is_chained,lane_chain_length,steps_executed,termination_reason,terminated,truncated,exception,nan_or_inf_observed,nan_or_inf_detail,downstream_status_counts,chain_advanced_count,final_active_transition_index,transition_index_out_of_bounds,success,collision,offroad,wall_time_s
MAN_0080,train,training_tfexample.tfrecord-00004-of-01000#439,training_tfexample.tfrecord-00004-of-01000,439,False,2,37,success,True,False,,False,,"{""OK"": 37, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,28.17443180200644
MAN_0081,train,training_tfexample.tfrecord-00004-of-01000#474,training_tfexample.tfrecord-00004-of-01000,474,False,2,18,success,True,False,,False,,"{""OK"": 17, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 1, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,16.991548067948315
MAN_0082,train,training_tfexample.tfrecord-00004-of-01000#491,training_tfexample.tfrecord-00004-of-01000,491,False,2,35,failure_collision,True,False,,False,,"{""OK"": 0, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 35, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,False,True,False,19.413227483979426
MAN_0083,train,training_tfexample.tfrecord-00005-of-01000#127,training_tfexample.tfrecord-00005-of-01000,127,False,2,16,success,True,False,,False,,"{""OK"": 16, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,12.06464599299943
MAN_0084,train,training_tfexample.tfrecord-00005-of-01000#130,training_tfexample.tfrecord-00005-of-01000,130,False,2,10,success,True,False,,False,,"{""OK"": 0, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 10, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,6.104629784007557
MAN_0085,train,training_tfexample.tfrecord-00005-of-01000#145,training_tfexample.tfrecord-00005-of-01000,145,False,2,26,success,True,False,,False,,"{""OK"": 26, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,18.926645311003085
MAN_0086,train,training_tfexample.tfrecord-00005-of-01000#153,training_tfexample.tfrecord-00005-of-01000,153,False,2,48,truncation_horizon,False,True,,False,,"{""OK"": 0, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 47, ""COLLISION_BLOCKED"": 1, ""CONTROLLER_FAILURE"": 0}",0,0,False,False,False,False,25.988016212009825
MAN_0089,train,training_tfexample.tfrecord-00005-of-01000#169,training_tfexample.tfrecord-00005-of-01000,169,False,2,19,failure_offroad,True,False,,False,,"{""OK"": 14, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 5, ""CONTROLLER_FAILURE"": 0}",0,0,False,False,False,True,13.26974674500525
MAN_0091,train,training_tfexample.tfrecord-00005-of-01000#247,training_tfexample.tfrecord-00005-of-01000,247,False,2,44,truncation_horizon,False,True,,False,,"{""OK"": 3, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 25, ""COLLISION_BLOCKED"": 16, ""CONTROLLER_FAILURE"": 0}",0,0,False,False,False,False,25.1649459170294
MAN_0093,train,training_tfexample.tfrecord-00005-of-01000#401,training_tfexample.tfrecord-00005-of-01000,401,False,2,29,success,True,False,,False,,"{""OK"": 29, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,25.104835338017438
MAN_0095,train,training_tfexample.tfrecord-00006-of-01000#25,training_tfexample.tfrecord-00006-of-01000,25,False,2,23,success,True,False,,False,,"{""OK"": 22, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 1, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,15.759717845998239
MAN_0096,train,training_tfexample.tfrecord-00006-of-01000#27,training_tfexample.tfrecord-00006-of-01000,27,False,2,86,truncation_horizon,False,True,,False,,"{""OK"": 0, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 86, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,False,False,False,38.68888709205203
MAN_0103,train,training_tfexample.tfrecord-00006-of-01000#230,training_tfexample.tfrecord-00006-of-01000,230,False,2,28,success,True,False,,False,,"{""OK"": 28, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,22.430671688052826
MAN_0106,train,training_tfexample.tfrecord-00006-of-01000#260,training_tfexample.tfrecord-00006-of-01000,260,False,2,16,success,True,False,,False,,"{""OK"": 11, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 5, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,12.117811233969405
MAN_0107,train,training_tfexample.tfrecord-00006-of-01000#283,training_tfexample.tfrecord-00006-of-01000,283,True,3,71,truncation_horizon,False,True,,False,,"{""OK"": 3, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 68, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,False,False,False,34.99062223098008
MAN_0109,train,training_tfexample.tfrecord-00006-of-01000#368,training_tfexample.tfrecord-00006-of-01000,368,True,3,45,success,True,False,,False,,"{""OK"": 33, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 12, ""CONTROLLER_FAILURE"": 0}",1,1,False,True,False,False,31.068049483990762
MAN_0110,train,training_tfexample.tfrecord-00006-of-01000#369,training_tfexample.tfrecord-00006-of-01000,369,False,2,17,success,True,False,,False,,"{""OK"": 17, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,15.241422988008708
MAN_0111,train,training_tfexample.tfrecord-00006-of-01000#402,training_tfexample.tfrecord-00006-of-01000,402,False,2,26,success,True,False,,False,,"{""OK"": 26, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,21.710468620003667
MAN_0114,train,training_tfexample.tfrecord-00006-of-01000#470,training_tfexample.tfrecord-00006-of-01000,470,False,2,15,success,True,False,,False,,"{""OK"": 15, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,14.34602319903206
